Number;IndexGroup;IndexOffset;Description;Type;Length;Writable;Unit;Context;Task
   0;0x20300;0x00000;POS-CTRL: elements;UNS32;4;false;-;PLATFORM;TASK_IPO
   1;0x20300;0x00001;cycle time;REAL64;8;false;s;PLATFORM;TASK_IPO
   2;0x20300;0x00002;number of axes;UNS16;2;false;-;PLATFORM;TASK_IPO
   3;0x20300;0x00003;logical axis ID by index;NONE;2;true;-;PLATFORM;TASK_IPO
   4;0x20300;0x00005;retain.data_valid;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
   5;0x20300;0x00006;axis state: compatibility mode;BOOLEAN;1;true;-;PLATFORM;TASK_IPO
   6;0x20300;0x00007;tick counter;UNS32;4;false;-;PLATFORM;TASK_IPO
   7;0x20300;0x00008;cyclic_call;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
   8;0x20300;0x0000e;allgem.messf_erfolgt;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
   9;0x20300;0x0000f;messf_erfolgt;UNS32;4;false;-;PLATFORM;TASK_IPO
  10;0x20300;0x01040;VOLC[0].number of records;SGN32;4;false;-;PLATFORM;TASK_IPO
  11;0x20300;0x01041;VOLC[0].enabled;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  12;0x20300;0x01043;VOLC[0].error state;UNS32;4;false;-;PLATFORM;TASK_IPO
  13;0x20300;0x01044;VOLC[0].in update;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  14;0x20300;0x01045;VOLC[0].last update;STRING;25;false;-;PLATFORM;TASK_IPO
  15;0x20300;0x01046;VOLC[0].alternative model;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  16;0x20300;0x01047;VOLC[0].tool length;REAL64;8;false;mm;PLATFORM;TASK_IPO
  17;0x20300;0x01048;VOLC[0].tool effective;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  18;0x20300;0x01049;VOLC[0].correction X;REAL64;8;false;µm;PLATFORM;TASK_IPO
  19;0x20300;0x0104a;VOLC[0].correction Y;REAL64;8;false;µm;PLATFORM;TASK_IPO
  20;0x20300;0x0104b;VOLC[0].correction Z;REAL64;8;false;µm;PLATFORM;TASK_IPO
  21;0x20300;0x0104c;VOLC[0].correction A;REAL64;8;false;mrad;PLATFORM;TASK_IPO
  22;0x20300;0x0104d;VOLC[0].correction B;REAL64;8;false;mrad;PLATFORM;TASK_IPO
  23;0x20300;0x0104e;VOLC[0].correction C;REAL64;8;false;mrad;PLATFORM;TASK_IPO
  24;0x20300;0x0104f;VOLC[0].solver.state;UNS32;4;false;-;PLATFORM;TASK_IPO
  25;0x20300;0x01050;VOLC[0].solver.performed iterations;SGN32;4;false;-;PLATFORM;TASK_IPO
  26;0x20300;0x01051;VOLC[0].solver.initial precision;REAL64;8;false;mm;PLATFORM;TASK_IPO
  27;0x20300;0x01052;VOLC[0].solver.final precision;REAL64;8;false;mm;PLATFORM;TASK_IPO
  28;0x20300;0x01080;VOLC[1].number of records;SGN32;4;false;-;PLATFORM;TASK_IPO
  29;0x20300;0x01081;VOLC[1].enabled;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  30;0x20300;0x01083;VOLC[1].error state;UNS32;4;false;-;PLATFORM;TASK_IPO
  31;0x20300;0x01084;VOLC[1].in update;BOOLEAN;1;false;-;PLATFORM;TASK_IPO
  32;0x20300;0x01085;VOLC[1].last update;STRING;25;false;-;PLATFORM;TASK_IPO
